epoch,Transit Time,error
0.0,2454955.917878,0.00402778
1.0,2454972.152271,0.00256945
2.0,2454988.406663,0.00444445
3.0,2455004.642792,0.00319445
4.0,2455020.892532,0.00361111
5.0,2455037.141229,0.00340278
6.0,2455053.392914,0.00270833
7.0,2455069.647723,0.00263889
8.0,2455085.882879,0.00263889
9.0,2455102.129216,0.00298611
10.0,2455118.373053,0.003125
11.0,2455134.611334,0.00347222
12.0,2455150.863088,0.00284722
13.0,2455167.1013,0.00354167
15.0,2455199.525363,0.00291667
16.0,2455215.748505,0.00319444
18.0,2455248.185276,0.00291667
19.0,2455264.399113,0.00388889
20.0,2455280.577672,0.00333333
21.0,2455296.801926,0.00284722
22.0,2455313.028887,0.00361111
23.0,2455329.250502,0.00243056
24.0,2455345.471839,0.00326389
25.0,2455361.690328,0.00368056
26.0,2455377.896249,0.00298611
27.0,2455394.138488,0.00340278
28.0,2455410.387117,0.00347222
29.0,2455426.637343,0.003125
30.0,2455442.87868,0.00263889
31.0,2455459.128142,0.00298611
32.0,2455475.372811,0.00319444
33.0,2455491.62026,0.00305556
34.0,2455507.874791,0.00347222
36.0,2455540.371215,0.00305556
38.0,2455572.852361,0.00347222
39.0,2455589.095226,0.003125
40.0,2455605.326771,0.00319444
41.0,2455621.561649,0.00381944
43.0,2455654.005851,0.00347222
44.0,2455670.22573,0.003125
45.0,2455686.436163,0.00305556
46.0,2455702.657431,0.00256944
47.0,2455718.875573,0.00326389
48.0,2455735.096633,0.00388889
49.0,2455751.280469,0.00333333
50.0,2455767.508195,0.00305556
51.0,2455783.735921,0.00270833
52.0,2455799.956424,0.00354167
53.0,2455816.195053,0.00395833
54.0,2455832.427987,0.00291667
55.0,2455848.63863,0.003125
56.0,2455864.890939,0.003125
57.0,2455881.146443,0.00333333
59.0,2455913.643143,0.003125
60.0,2455929.896564,0.00326389
61.0,2455946.135609,0.00375
62.0,2455962.383613,0.00326389
63.0,2455978.633561,0.00305556
65.0,2456011.136373,0.00305556
66.0,2456027.371461,0.00340278
67.0,2456043.610367,0.00333333
68.0,2456059.831078,0.00291667
69.0,2456076.058874,0.00263889
70.0,2456092.290072,0.003125
71.0,2456108.517381,0.00298611
73.0,2456140.934569,0.00340278
74.0,2456157.151669,0.003125
75.0,2456173.382868,0.003125
76.0,2456189.593302,0.00298611
78.0,2456221.998267,0.00284722
80.0,2456254.473302,0.00361111
81.0,2456270.702486,0.00284722
82.0,2456286.946948,0.00319444
83.0,2456303.183771,0.00333333
85.0,2456335.660195,0.00277778
86.0,2456351.906046,0.00354167
87.0,2456368.160994,0.003125
88.0,2456384.398788,0.00361111
89.0,2456400.659292,0.00347222
