epoch,Transit Time,error
5.0,2455030.145908,0.01666667
6.0,2455043.95822,0.01597222
7.0,2455057.653172,0.03333333
8.0,2455071.596735,0.02916667
9.0,2455085.38127,0.02708333
10.0,2455099.264417,0.025
11.0,2455113.185062,0.01527778
12.0,2455126.92793,0.02152778
13.0,2455140.770799,0.00902778
15.0,2455168.423202,0.03194444
17.0,2455196.175606,0.02013889
18.0,2455210.063613,0.03055556
19.0,2455223.940509,0.02152778
20.0,2455237.764627,0.02152778
21.0,2455251.647079,0.01805556
22.0,2455265.49967,0.01597222
23.0,2455279.43351,0.02222222
24.0,2455293.318046,0.02152778
25.0,2455307.202581,0.01805556
26.0,2455321.07531,0.01388889
27.0,2455334.919568,0.02361111
28.0,2455348.776324,0.025
29.0,2455362.588637,0.03333333
30.0,2455376.50095,0.02013889
32.0,2455404.131825,0.02986111
33.0,2455417.997611,0.01041667
37.0,2455473.228112,0.01666667
38.0,2455487.175842,0.02361111
39.0,2455500.964543,0.02916667
40.0,2455514.8088,0.0125
41.0,2455528.635697,0.02222222
42.0,2455542.452176,0.02430556
44.0,2455570.119857,0.00833333
45.0,2455583.923836,0.02361111
46.0,2455597.813927,0.03055556
47.0,2455611.625546,0.01875
48.0,2455625.514941,0.01597222
50.0,2455653.16179,0.03125
51.0,2455667.090074,0.03680556
52.0,2455680.989888,0.01527778
53.0,2455694.834145,0.01736111
54.0,2455708.845763,0.01319444
55.0,2455722.57752,0.01180556
56.0,2455736.445388,0.02708333
57.0,2455750.363256,0.02152778
58.0,2455764.242237,0.01944444
59.0,2455778.031632,0.02222222
60.0,2455791.993945,0.02222222
61.0,2455805.725008,0.02222222
62.0,2455819.641487,0.02291667
64.0,2455847.305697,0.02222222
65.0,2455861.177037,0.02222222
66.0,2455875.031017,0.02152778
67.0,2455888.843329,0.01597222
68.0,2455902.65842,0.03333333
69.0,2455916.404066,0.02291667
70.0,2455930.403879,0.02638889
71.0,2455944.137719,0.02152778
72.0,2455957.950727,0.01319444
73.0,2455971.744984,0.02916667
74.0,2455985.604519,0.02986111
75.0,2455999.409887,0.01458333
79.0,2456054.826499,0.01875
80.0,2456068.682563,0.01527778
81.0,2456082.576125,0.01736111
82.0,2456096.365521,0.025
83.0,2456110.329223,0.01944444
86.0,2456151.891162,0.02013889
87.0,2456165.736807,0.02083333
88.0,2456179.740788,0.02708333
89.0,2456193.452406,0.01736111
90.0,2456207.302912,0.01458333
91.0,2456221.241615,0.01875
92.0,2456235.095594,0.02361111
94.0,2456262.723692,0.02916667
95.0,2456276.604754,0.04027778
96.0,2456290.485817,0.01388889
99.0,2456331.9672,0.0125
100.0,2456345.819791,0.02152778
101.0,2456359.516826,0.02152778
102.0,2456373.473583,0.03055556
103.0,2456387.257424,0.03402778
104.0,2456401.154458,0.0125
